query_id,skill_type,skill_name_zh,actual_query_backend,op_domain,op_topic,source_origin,source_note,version,test_group,category,query_text,normalized_intent,condition_count,field_atoms,expression_type,time_window,unit_type,operator_type,order_variant,risk_tags,run_count,success_count,none_count,error_count,empty_count,avg_result_count,min_result_count,max_result_count,avg_latency_ms,status,risk_level,recommended_usage,notes
S1-001,sector,问财选板块,sector,wencai_query,sector_price_change,seed_spec,板块基础单字段测试,v1,S1_basic,single_field,今日涨幅大于3%的板块,板块涨幅>3%,1,板块今日涨幅,simple,today,百分比,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
S1-002,sector,问财选板块,sector,wencai_query,sector_price_change,seed_spec,板块基础单字段测试,v1,S1_basic,single_field,今日涨幅大于5%的板块,板块涨幅>5%,1,板块今日涨幅,simple,today,百分比,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
S1-003,sector,问财选板块,sector,wencai_query,sector_volume,seed_spec,板块基础单字段测试,v1,S1_basic,single_field,今日成交额大于50亿的板块,板块成交额>50亿,1,板块今日成交额,simple,today,亿元,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
S1-004,sector,问财选板块,sector,wencai_query,sector_volume,seed_spec,板块基础单字段测试,v1,S1_basic,single_field,今日成交额大于100亿的板块,板块成交额>100亿,1,板块今日成交额,simple,today,亿元,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
S1-005,sector,问财选板块,sector,wencai_query,sector_capital,seed_spec,板块基础单字段测试,v1,S1_basic,single_field,今日主力净流入大于1亿的板块,板块净流入>1亿,1,板块主力净流入,simple,today,亿元,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
S1-006,sector,问财选板块,sector,wencai_query,sector_capital,seed_spec,板块基础单字段测试,v1,S1_basic,single_field,今日主力净流入为正的板块,板块净流入>0,1,板块主力净流入,positive_only,today,定性,positive,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
S1-007,sector,问财选板块,sector,wencai_query,sector_price_change,seed_spec,板块时间窗口测试,v1,S1_basic,time_window,近5日涨幅最大的板块,近5日涨幅最大板块,1,近5日涨幅,ranking,5d,百分比,rank_top,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
S1-008,sector,问财选板块,sector,wencai_query,sector_price_change,seed_spec,板块时间窗口测试,v1,S1_basic,time_window,近20日涨幅大于10%的板块,近20日涨幅>10%板块,1,近20日涨幅,simple,20d,百分比,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
S1-009,sector,问财选板块,sector,wencai_query,sector_turnover,seed_spec,板块基础单字段测试,v1,S1_basic,single_field,今日换手率大于3%的板块,板块换手率>3%,1,板块换手率,simple,today,百分比,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
S1-010,sector,问财选板块,sector,wencai_query,sector_volume_ratio,seed_spec,板块基础单字段测试,v1,S1_basic,single_field,今日量比大于1.5的板块,板块量比>1.5,1,板块量比,simple,today,倍数,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
