query_id,skill_type,skill_name_zh,actual_query_backend,op_domain,op_topic,source_origin,source_note,version,test_group,category,query_text,normalized_intent,condition_count,field_atoms,expression_type,time_window,unit_type,operator_type,order_variant,risk_tags,run_count,success_count,none_count,error_count,empty_count,avg_result_count,min_result_count,max_result_count,avg_latency_ms,status,risk_level,recommended_usage,notes
A12R-001,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,pool_code_field_or,股票代码为000060或603399，今日成交额大于近5日平均成交额1.5倍,代码为000060或603399+成交额>近5日均×1.5,2,股票代码|成交额|近5日均成交额,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,代码字段OR写法，期望只返回指定代码
A12R-002,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,pool_cert_field_or,证券代码为000060或603399，今日成交额大于近5日平均成交额1.5倍,证券代码为000060或603399+成交额>近5日均×1.5,2,证券代码|成交额|近5日均成交额,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,证券代码别称
A12R-003,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,pool_bare_or,000060或603399，今日成交额大于近5日平均成交额1.5倍,裸代码OR+成交额>近5日均×1.5,2,股票代码|成交额|近5日均成交额,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,裸代码OR写法
A12R-004,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,pool_code_list,股票代码是000060、603399、600519、000858，今日成交额大于近5日平均成交额1.5倍,代码列表+成交额>近5日均×1.5,2,股票代码|成交额|近5日均成交额,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,顿号分隔代码列表
A12R-005,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,pool_name_or,股票简称为中金岭南或抚顺特钢，今日成交额大于近5日平均成交额1.5倍,股票简称OR+成交额>近5日均×1.5,2,股票简称|成交额|近5日均成交额,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,"简称OR写法（000060=中金岭南,603399=抚顺特钢）"
A12R-006,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,single_code_target,股票代码为000060，今日成交额大于近5日平均成交额1.5倍,000060+成交额>近5日均×1.5,2,股票代码|成交额|近5日均成交额,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,单代码验证命中
A12R-007,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,single_code_target,股票代码为603399，今日成交额大于近5日平均成交额1.5倍,603399+成交额>近5日均×1.5,2,股票代码|成交额|近5日均成交额,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,单代码验证命中
A12R-008,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,single_code_noise,股票代码为600519，今日成交额大于近5日平均成交额1.5倍,600519+成交额>近5日均×1.5,2,股票代码|成交额|近5日均成交额,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,对照噪声代码（茅台，不应命中）
A12R-009,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,scope_kcb,科创板，今日成交额大于近5日平均成交额1.5倍,科创板+成交额>近5日均×1.5,2,科创板|成交额|近5日均成交额,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,科创板缩圈对照（A11-002 已测rc=1）
A12R-010,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,scope_military,军工板块，今日成交额大于近5日平均成交额1.5倍,军工板块+成交额>近5日均×1.5,2,军工板块|成交额|近5日均成交额,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,军工板块对照（A11-003 已测rc=1）
A12R-011,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,scope_military_macd,军工板块，今日成交额大于近5日平均成交额1.5倍，MACD金叉,军工板块+成交额>近5日均×1.5+MACD金叉,3,军工板块|成交额|近5日均成交额|MACD,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,军工+相对成交额+MACD金叉三条件
A12R-012,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,scope_military_kdj,军工板块，今日成交额大于近5日平均成交额1.5倍，KDJ金叉,军工板块+成交额>近5日均×1.5+KDJ金叉,3,军工板块|成交额|近5日均成交额|KDJ,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,军工+相对成交额+KDJ金叉
A12R-013,astock,问财选A股,stock,wencai_query,code_pool_repair,seed_spec,A12修复专项,v3,A12R_code_pool_repair,scope_military_macd_zero,军工板块，今日成交额大于近5日平均成交额1.5倍，MACD在零轴之上,军工板块+成交额>近5日均×1.5+MACD>0,3,军工板块|成交额|近5日均成交额|MACD零轴,pool_repair,today,定性,pool_or_scope,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,MACD零轴字段是否被识别
