field_id,field_name_zh,field_aliases_zh,op_domain,op_topic,data_type,unit,value_range,notes
F001,今日涨幅,涨幅|今天涨幅|日内涨幅,wencai_query,price_change,float,百分比,-100~100,A股当日涨跌幅
F002,近5日涨幅,5日涨幅|近5天涨幅,wencai_query,price_change,float,百分比,-100~100,近5个交易日区间涨幅
F003,近20日涨幅,20日涨幅|近20天涨幅|近一个月涨幅,wencai_query,price_change,float,百分比,-100~100,近20个交易日区间涨幅
F004,近30日振幅,30日振幅,wencai_query,volatility,float,百分比,0~200,近30日高低价区间振幅
F005,今日成交额,今天成交额|成交额|成交金额,wencai_query,volume,float,亿元,0~,当日总成交金额
F006,今日换手率,换手率|今天换手率,wencai_query,turnover,float,百分比,0~100,当日换手率
F007,今日量比,量比,wencai_query,volume_ratio,float,倍数,0~,当日量比
F008,流通市值,流通盘市值,wencai_query,market_cap,float,亿元,0~,流通股本市值
F009,总市值,总市值,wencai_query,market_cap,float,亿元,0~,全部股本市值
F010,今日主力净流入,主力净流入|主力资金净流入,wencai_query,capital_flow,float,亿元,,当日主力净流入金额
F011,收盘价,今日收盘价|今天收盘,wencai_query,price,float,元,0~,当日收盘价
F012,5日均线,MA5|五日均线,wencai_query,ma,float,元,0~,5日简单移动均线
F013,20日均线,MA20|二十日均线,wencai_query,ma,float,元,0~,20日简单移动均线
F014,非ST,去除ST|剔除ST|排除ST,wencai_query,exclusion,bool,,true,排除ST和*ST股票
F015,非停牌,去除停牌|排除停牌,wencai_query,exclusion,bool,,true,排除当前停牌股票
F016,上市天数,上市时间|上市超过,wencai_query,listing,int,天,0~,上市至今天数
F017,近60日涨幅,60日涨幅|近60天涨幅,wencai_query,price_change,float,百分比,-100~100,近60个交易日区间涨幅
F018,近30日创阶段新高,阶段新高|30日新高,wencai_query,price_high,bool,,true,近30日收盘创阶段新高
F019,今日MACD金叉,MACD金叉,wencai_query,technical,bool,,true,今日MACD指标金叉信号
F020,今日KDJ金叉,KDJ金叉,wencai_query,technical,bool,,true,今日KDJ指标金叉信号
S001,板块今日涨幅,板块涨幅|行业涨幅,wencai_query,sector_price_change,float,百分比,-100~100,板块当日涨跌幅
S002,板块今日成交额,板块成交额|板块成交,wencai_query,sector_volume,float,亿元,0~,板块当日成交金额
S003,板块主力净流入,板块净流入|行业净流入,wencai_query,sector_capital,float,亿元,,板块当日主力净流入
S004,板块换手率,板块今日换手率,wencai_query,sector_turnover,float,百分比,0~100,板块当日换手率
S005,板块量比,板块今日量比,wencai_query,sector_volume_ratio,float,倍数,0~,板块当日量比
