query_id,skill_type,skill_name_zh,actual_query_backend,op_domain,op_topic,source_origin,source_note,version,test_group,category,query_text,normalized_intent,condition_count,field_atoms,expression_type,time_window,unit_type,operator_type,order_variant,risk_tags,run_count,success_count,none_count,error_count,empty_count,avg_result_count,min_result_count,max_result_count,avg_latency_ms,status,risk_level,recommended_usage,notes
A15-001,astock,问财选A股,stock,wencai_query,volume,seed_spec,第三批深测,v3,A15_practical_combo_ceiling,combo_3cond,创业板，今日成交额大于近5日平均成交额1.5倍，今日收盘价站上5日均线,创业板+成交额>近5日均×1.5+收盘>MA5,3,创业板|成交额|近5日均成交额|MA5,scoped+relative+compare,mixed,混合,scoped+relative_gt+gt,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,3条件实战
A15-002,astock,问财选A股,stock,wencai_query,limitup,seed_spec,第三批深测,v3,A15_practical_combo_ceiling,combo_3cond,军工板块，近10日有涨停，近3日股价回撤大于3%,军工+涨停+回撤>3%,3,军工板块|近10日涨停|近3日回撤,scoped+pattern+simple,mixed,混合,scoped+pattern+gt,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,板块+涨停+回撤
A15-003,astock,问财选A股,stock,wencai_query,limitup,seed_spec,第三批深测,v3,A15_practical_combo_ceiling,combo_4cond,半导体板块，近10日有涨停，近3日缩量，今日收盘价大于10日均线,半导体+涨停+缩量+收盘>MA10,4,半导体板块|近10日涨停|缩量|MA10,scoped+pattern+vague+compare,mixed,混合,scoped+pattern+vague+gt,standard,non_standard_field,0,0,0,0,0,0,0,0,0,pending,high,manual_only,4条件含缩量
A15-004,astock,问财选A股,stock,wencai_query,volume,seed_spec,第三批深测,v3,A15_practical_combo_ceiling,combo_3cond,非ST，流通市值在30亿到150亿之间，今日成交额大于近5日平均成交额1.5倍,非ST+市值30~150亿+成交额>近5日均×1.5,3,非ST|流通市值|成交额|近5日均成交额,filter+range+relative,mixed,混合,filter+between+relative_gt,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,过滤+市值+相对
A15-005,astock,问财选A股,stock,wencai_query,limitup,seed_spec,第三批深测,v3,A15_practical_combo_ceiling,combo_3cond,近10日有涨停，近3日股价回撤大于3%，今日收盘价大于5日均线,涨停+回撤>3%+收盘>MA5,3,近10日涨停|近3日回撤|MA5,pattern+simple+compare,mixed,混合,pattern+gt+gt,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,涨停+回撤+均线
A15-006,astock,问财选A股,stock,wencai_query,limitup,seed_spec,第三批深测,v3,A15_practical_combo_ceiling,combo_3cond,近10日有涨停，近3日成交量逐日缩小，今日收盘价大于10日均线,涨停+量递减+收盘>MA10,3,近10日涨停|近3日成交量|MA10,pattern+consecutive+compare,mixed,混合,pattern+decreasing+gt,standard,non_standard_field,0,0,0,0,0,0,0,0,0,pending,high,manual_only,涨停+缩量+均线
A15-007,astock,问财选A股,stock,wencai_query,volume,seed_spec,第三批深测,v3,A15_practical_combo_ceiling,combo_3cond,今日成交额大于近5日平均成交额1.5倍，近3日涨幅小于10%，今日收盘价大于5日均线,成交额>近5日均×1.5+近3日涨<10%+收盘>MA5,3,成交额|近5日均成交额|近3日涨幅|MA5,relative+simple+compare,mixed,混合,relative_gt+lt+gt,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,相对+涨幅+均线3条
A15-008,astock,问财选A股,stock,wencai_query,limitup,seed_spec,第三批深测,v3,A15_practical_combo_ceiling,combo_4cond,创业板，近10日有涨停，近3日股价回撤大于5%，今日收盘价没有跌破10日均线,创业板+涨停+回撤>5%+未破MA10,4,创业板|近10日涨停|近3日回撤|MA10,scoped+pattern+simple+compare_neg,mixed,混合,scoped+pattern+gt+not_break,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,4条件负向均线
A15-009,astock,问财选A股,stock,wencai_query,combo,seed_spec,第三批深测,v3,A15_practical_combo_ceiling,ceiling_4cond,非ST，上市超过60天，今日涨幅大于3%，今日成交额大于3亿,非ST+上市>60天+涨>3%+额>3亿,4,非ST|上市天数|今日涨幅|今日成交额,filter+multi,today,混合,multi,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,4条件基准线
A15-010,astock,问财选A股,stock,wencai_query,combo,seed_spec,第三批深测,v3,A15_practical_combo_ceiling,ceiling_5cond,非ST，上市超过60天，今日涨幅大于3%，今日成交额大于3亿，今日换手率大于5%,非ST+上市>60天+涨>3%+额>3亿+换手>5%,5,非ST|上市天数|涨幅|成交额|换手率,filter+multi,today,混合,multi,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,5条件
