query_id,skill_type,skill_name_zh,actual_query_backend,op_domain,op_topic,source_origin,source_note,version,test_group,category,query_text,normalized_intent,condition_count,field_atoms,expression_type,time_window,unit_type,operator_type,order_variant,risk_tags,run_count,success_count,none_count,error_count,empty_count,avg_result_count,min_result_count,max_result_count,avg_latency_ms,status,risk_level,recommended_usage,notes
S9-001,sector,问财选板块,zhishu,wencai_query,return_enrichment,seed_spec,S9返回增强补测,v1,S9_return_enrichment,reason_query,今日涨幅排名前10的板块，上涨原因是什么,涨幅TOP10板块+上涨原因,1,涨幅|原因,filter,today,定性,comparison,none,vague_word,0,0,0,0,0,0,0,0,0,pending,medium,pending,验证：原因文本是否返回，还是被忽略(reason_query_ignored)
S9-002,sector,问财选板块,zhishu,wencai_query,return_enrichment,seed_spec,S9返回增强补测,v1,S9_return_enrichment,reason_query,今日涨停家数排名前10的板块，原因是什么,涨停家数TOP10板块+原因,1,涨停家数|原因,filter,today,定性,comparison,none,vague_word,0,0,0,0,0,0,0,0,0,pending,medium,pending,验证：原因被忽略还是有专列
S9-003,sector,问财选板块,zhishu,wencai_query,return_enrichment,seed_spec,S9返回增强补测,v1,S9_return_enrichment,reason_query,今日主力净流入排名前10的板块，资金流入原因是什么,主力净流入TOP10板块+资金原因,1,主力净流入|原因,filter,today,定性,comparison,none,vague_word,0,0,0,0,0,0,0,0,0,pending,medium,pending,验证：资金原因文本是否返回
S9-004,sector,问财选板块,zhishu,wencai_query,return_enrichment,seed_spec,S9返回增强补测,v1,S9_return_enrichment,index_field_query,今日涨幅排名前10的板块，返回板块指数代码,涨幅TOP10板块+指数代码,1,涨幅|指数代码,filter,today,定性,comparison,none,,0,0,0,0,0,0,0,0,0,pending,medium,pending,验证：指数代码是否作为字段返回
S9-005,sector,问财选板块,zhishu,wencai_query,return_enrichment,seed_spec,S9返回增强补测,v1,S9_return_enrichment,index_field_query,今日成交额排名前10的板块，返回指数代码和指数简称,成交额TOP10板块+指数代码+指数简称,1,成交额|指数代码|指数简称,filter,today,定性,comparison,none,,0,0,0,0,0,0,0,0,0,pending,medium,pending,验证：指数代码/简称字段可访问性
S9-006,sector,问财选板块,zhishu,wencai_query,return_enrichment,seed_spec,S9返回增强补测,v1,S9_return_enrichment,index_field_query,今日涨停家数排名前10的板块，返回涨停家数和上涨家数,涨停家数TOP10板块+涨停家数+上涨家数,1,涨停家数|上涨家数,filter,today,定性,comparison,none,,0,0,0,0,0,0,0,0,0,pending,medium,pending,验证：情绪字段涨停家数/上涨家数是否在列
S9-007,sector,问财选板块,zhishu,wencai_query,return_enrichment,seed_spec,S9返回增强补测,v1,S9_return_enrichment,leader_query,今日涨幅排名前5的板块及其领涨股,涨幅TOP5板块+领涨股,2,涨幅|领涨股,filter,today,定性,comparison,none,sector_route_ambiguous,0,0,0,0,0,0,0,0,0,pending,medium,pending,验证：sector能否返回股票，还是只返回板块(leader_query_not_supported_by_sector)
S9-008,sector,问财选板块,zhishu,wencai_query,return_enrichment,seed_spec,S9返回增强补测,v1,S9_return_enrichment,leader_query,今日涨停家数排名前5的板块及其龙头股,涨停家数TOP5板块+龙头股,2,涨停家数|龙头股,filter,today,定性,comparison,none,sector_route_ambiguous,0,0,0,0,0,0,0,0,0,pending,medium,pending,验证：龙头股能否在sector路由返回
S9-009,sector,问财选板块,zhishu,wencai_query,return_enrichment,seed_spec,S9返回增强补测,v1,S9_return_enrichment,leader_query,军工板块领涨股,军工板块领涨股,1,板块名|领涨股,filter,today,定性,comparison,none,sector_route_ambiguous,0,0,0,0,0,0,0,0,0,pending,medium,pending,验证：指定板块+领涨股，返回板块还是股票还是空
S9-010,sector,问财选板块,zhishu,wencai_query,return_enrichment,seed_spec,S9返回增强补测,v1,S9_return_enrichment,leader_query,军工板块中今日涨幅排名前10的股票,军工板块涨幅TOP10股,2,板块名|涨幅,filter,today,定性,comparison,none,sector_route_ambiguous,0,0,0,0,0,0,0,0,0,pending,medium,pending,已知S8-006失败，二次确认must_split=true
S9-011,sector,问财选板块,zhishu,wencai_query,return_enrichment,seed_spec,S9返回增强补测,v1,S9_return_enrichment,leader_query,今日涨幅排名前5的板块，然后查询每个板块中的今日涨幅排名前3股票,涨幅TOP5板块→每板块涨幅TOP3股,2,涨幅|板块内股票,filter,today,定性,comparison,none,sector_route_ambiguous,0,0,0,0,0,0,0,0,0,pending,medium,pending,最复杂的两步问法，sector路由应直接返回板块列表，不会执行第二步
