query_id,skill_type,skill_name_zh,actual_query_backend,op_domain,op_topic,source_origin,source_note,version,test_group,category,query_text,normalized_intent,condition_count,field_atoms,expression_type,time_window,unit_type,operator_type,order_variant,risk_tags,run_count,success_count,none_count,error_count,empty_count,avg_result_count,min_result_count,max_result_count,avg_latency_ms,status,risk_level,recommended_usage,notes
A2-001,astock,问财选A股,stock,wencai_query,price_change,seed_spec,同义表达测试,v1,A2_synonym,synonym,今日涨幅大于3%,今日涨幅>3%,1,今日涨幅,simple,today,百分比,gt,v1,,0,0,0,0,0,0,0,0,0,pending,low,pending,基准写法
A2-002,astock,问财选A股,stock,wencai_query,price_change,seed_spec,同义表达测试,v1,A2_synonym,synonym,今天涨幅大于3%,今日涨幅>3%,1,今日涨幅,simple,today,百分比,gt,v2_jintian,,0,0,0,0,0,0,0,0,0,pending,low,pending,今天vs今日
A2-003,astock,问财选A股,stock,wencai_query,price_change,seed_spec,同义表达测试,v1,A2_synonym,synonym,涨幅大于3%,今日涨幅>3%,1,今日涨幅,simple,today,百分比,gt,v3_no_time,,0,0,0,0,0,0,0,0,0,pending,low,pending,省略今日
A2-004,astock,问财选A股,stock,wencai_query,price_change,seed_spec,同义表达测试,v1,A2_synonym,synonym,涨幅超过3%,今日涨幅>3%,1,今日涨幅,simple,today,百分比,gt,v4_chaoguo,,0,0,0,0,0,0,0,0,0,pending,low,pending,超过vs大于
A2-005,astock,问财选A股,stock,wencai_query,price_change,seed_spec,同义表达测试,v1,A2_synonym,synonym,涨幅高于3%,今日涨幅>3%,1,今日涨幅,simple,today,百分比,gt,v5_gaoyv,,0,0,0,0,0,0,0,0,0,pending,low,pending,高于vs大于
A2-006,astock,问财选A股,stock,wencai_query,price_change,seed_spec,同义表达测试,v1,A2_synonym,synonym,今日涨幅超过3%,今日涨幅>3%,1,今日涨幅,simple,today,百分比,gt,v6,,0,0,0,0,0,0,0,0,0,pending,low,pending,今日+超过
A2-007,astock,问财选A股,stock,wencai_query,price_change,seed_spec,同义表达测试,v1,A2_synonym,synonym,今日涨幅3%以上,今日涨幅>3%,1,今日涨幅,simple,today,百分比,gte_informal,v7_yishang,,0,0,0,0,0,0,0,0,0,pending,low,pending,以上写法
A2-008,astock,问财选A股,stock,wencai_query,price_change,seed_spec,同义表达测试,v1,A2_synonym,synonym,今天上涨超过3%,今日涨幅>3%,1,今日涨幅,simple,today,百分比,gt,v8,,0,0,0,0,0,0,0,0,0,pending,low,pending,上涨超过写法
A2-009,astock,问财选A股,stock,wencai_query,volume,seed_spec,同义表达测试,v1,A2_synonym,synonym,今日成交额大于3亿,成交额>3亿,1,今日成交额,simple,today,亿元,gt,v1,,0,0,0,0,0,0,0,0,0,pending,low,pending,基准写法
A2-010,astock,问财选A股,stock,wencai_query,volume,seed_spec,同义表达测试,v1,A2_synonym,synonym,今日成交金额大于3亿,成交额>3亿,1,今日成交额,simple,today,亿元,gt,v2_jine,,0,0,0,0,0,0,0,0,0,pending,low,pending,成交金额vs成交额
A2-011,astock,问财选A股,stock,wencai_query,volume,seed_spec,同义表达测试,v1,A2_synonym,synonym,今日成交额超过3亿,成交额>3亿,1,今日成交额,simple,today,亿元,gt,v3_chaoguo,,0,0,0,0,0,0,0,0,0,pending,low,pending,超过vs大于
A2-012,astock,问财选A股,stock,wencai_query,volume,seed_spec,同义表达测试,v1,A2_synonym,synonym,今日成交额3亿以上,成交额>3亿,1,今日成交额,simple,today,亿元,gte_informal,v4_yishang,,0,0,0,0,0,0,0,0,0,pending,low,pending,以上写法
A2-013,astock,问财选A股,stock,wencai_query,capital_flow,seed_spec,同义表达测试,v1,A2_synonym,synonym,今日主力净流入为正,主力净流入>0,1,今日主力净流入,positive_only,today,定性,positive,v1,,0,0,0,0,0,0,0,0,0,pending,low,pending,基准写法
A2-014,astock,问财选A股,stock,wencai_query,capital_flow,seed_spec,同义表达测试,v1,A2_synonym,synonym,主力资金净流入为正,主力净流入>0,1,今日主力净流入,positive_only,today,定性,positive,v2_zijin,,0,0,0,0,0,0,0,0,0,pending,low,pending,主力资金vs主力
A2-015,astock,问财选A股,stock,wencai_query,capital_flow,seed_spec,同义表达测试,v1,A2_synonym,synonym,今日主力资金流入,主力净流入>0,1,今日主力净流入,direction_only,today,定性,direction,v3,,0,0,0,0,0,0,0,0,0,pending,low,pending,资金流入方向写法
