query_id,test_group,bucket,analysis_status,recommended_usage,risk_level,condition_count,query_text,normalized_intent,field_atoms,risk_tags,result_count,elapsed_ms,failure_type,failure_reason_zh,run_id,notes
A3-001,A3_combo,strong,stable,strong,low,1,今日涨幅大于3%,涨幅>3%,今日涨幅,,100,1835.4,none,,run_20260507_151853,返回 100 条，语义稳定
A1-002,A1_basic,strong,stable,strong,low,1,今日涨幅大于5%,今日涨幅>5%,今日涨幅,,100,1448.9,none,,run_20260507_150529,返回 100 条，语义稳定
A1-003,A1_basic,strong,stable,strong,low,2,今日涨幅大于3%，非ST,涨幅>3%且非ST,今日涨幅|非ST,,100,1565.1,none,,run_20260507_150529,返回 100 条，语义稳定
A2-009,A2_synonym,strong,stable,strong,low,1,今日成交额大于3亿,成交额>3亿,今日成交额,,100,1279.7,none,,run_20260507_150925,返回 100 条，语义稳定
A1-005,A1_basic,strong,stable,strong,low,1,今日成交额大于5亿,成交额>5亿,今日成交额,,100,1103.5,none,,run_20260507_150529,返回 100 条，语义稳定
A1-006,A1_basic,strong,stable,strong,low,1,今日换手率大于5%,换手率>5%,今日换手率,,100,1841.3,none,,run_20260507_150529,返回 100 条，语义稳定
A1-007,A1_basic,strong,stable,strong,low,1,今日换手率大于10%,换手率>10%,今日换手率,,100,1492.1,none,,run_20260507_150529,返回 100 条，语义稳定
A1-008,A1_basic,strong,stable,strong,low,1,今日量比大于1.5,量比>1.5,今日量比,,100,2599.6,none,,run_20260507_150529,返回 100 条，语义稳定
A1-009,A1_basic,strong,stable,strong,low,1,今日量比大于2,量比>2,今日量比,,100,1663.8,none,,run_20260507_150529,返回 100 条，语义稳定
A7-002,A7_numeric_relative,strong,stable,strong,low,1,流通市值在30亿到150亿之间,流通市值30~150亿,流通市值,,100,1451.7,none,,run_20260507_154212,返回 100 条，语义稳定
A1-011,A1_basic,strong,stable,strong,low,1,流通市值在80亿到300亿之间,流通市值80~300亿,流通市值,,100,1129.8,none,,run_20260507_150529,返回 100 条，语义稳定
A1-012,A1_basic,strong,stable,strong,low,1,总市值在50亿到300亿之间,总市值50~300亿,总市值,,100,2615.2,none,,run_20260507_150529,返回 100 条，语义稳定
A8-001,A8_capital_flow,strong,stable,strong,low,1,今日主力净流入大于5000万,主力净流入>0.5亿,今日主力净流入,,100,2016.4,none,,run_20260507_154454,返回 100 条，语义稳定
A8-002,A8_capital_flow,strong,stable,strong,low,1,今日主力净流入大于1亿,主力净流入>1亿,今日主力净流入,,100,1073.7,none,,run_20260507_154454,返回 100 条，语义稳定
A8-003,A8_capital_flow,strong,stable,strong,low,1,今日主力净流入为正,主力净流入>0,今日主力净流入,,100,1561.5,none,,run_20260507_154454,返回 100 条，语义稳定
A6-002,A6_time_window,strong,stable,strong,low,1,近5日涨幅大于10%,近5日涨幅>10%,近5日涨幅,,100,1261.4,none,,run_20260507_154006,返回 100 条，语义稳定
A1-017,A1_basic,strong,stable,strong,low,1,近20日涨幅大于20%,近20日涨幅>20%,近20日涨幅,,100,1254.9,none,,run_20260507_150529,返回 100 条，语义稳定
A1-018,A1_basic,strong,stable,strong,low,2,非ST，非停牌,非ST且非停牌,非ST|非停牌,,100,1511.0,none,,run_20260507_150529,返回 100 条，语义稳定
A1-019,A1_basic,strong,stable,strong,low,3,上市超过60天，非ST，非停牌,上市>60天且排除ST停牌,上市超过60天|非ST|非停牌,,100,1328.0,none,,run_20260507_150529,返回 100 条，语义稳定
A1-020,A1_basic,strong,stable,strong,low,1,今日收盘价大于5日均线,收盘价>MA5,收盘价|5日均线,,100,1461.9,none,,run_20260507_150529,返回 100 条，语义稳定
A2-002,A2_synonym,strong,stable,strong,low,1,今天涨幅大于3%,今日涨幅>3%,今日涨幅,,100,2335.2,none,,run_20260507_150925,返回 100 条，语义稳定
A2-003,A2_synonym,strong,stable,strong,low,1,涨幅大于3%,今日涨幅>3%,今日涨幅,,100,2126.5,none,,run_20260507_150925,返回 100 条，语义稳定
A2-004,A2_synonym,strong,stable,strong,low,1,涨幅超过3%,今日涨幅>3%,今日涨幅,,100,2200.8,none,,run_20260507_150925,返回 100 条，语义稳定
A2-005,A2_synonym,strong,stable,strong,low,1,涨幅高于3%,今日涨幅>3%,今日涨幅,,100,1221.7,none,,run_20260507_150925,返回 100 条，语义稳定
A2-006,A2_synonym,strong,stable,strong,low,1,今日涨幅超过3%,今日涨幅>3%,今日涨幅,,100,1672.9,none,,run_20260507_150925,返回 100 条，语义稳定
A2-007,A2_synonym,strong,stable,strong,low,1,今日涨幅3%以上,今日涨幅>3%,今日涨幅,,100,1329.4,none,,run_20260507_150925,返回 100 条，语义稳定
A2-008,A2_synonym,strong,stable,strong,low,1,今天上涨超过3%,今日涨幅>3%,今日涨幅,,100,1545.6,none,,run_20260507_150925,返回 100 条，语义稳定
A2-010,A2_synonym,strong,stable,strong,low,1,今日成交金额大于3亿,成交额>3亿,今日成交额,,100,1133.0,none,,run_20260507_150925,返回 100 条，语义稳定
A2-011,A2_synonym,strong,stable,strong,low,1,今日成交额超过3亿,成交额>3亿,今日成交额,,100,1027.3,none,,run_20260507_150925,返回 100 条，语义稳定
A2-012,A2_synonym,strong,stable,strong,low,1,今日成交额3亿以上,成交额>3亿,今日成交额,,100,1473.1,none,,run_20260507_150925,返回 100 条，语义稳定
A2-014,A2_synonym,strong,stable,strong,low,1,主力资金净流入为正,主力净流入>0,今日主力净流入,,100,1455.8,none,,run_20260507_150925,返回 100 条，语义稳定
A2-015,A2_synonym,strong,stable,strong,low,1,今日主力资金流入,主力净流入>0,今日主力净流入,,100,1454.7,none,,run_20260507_150925,返回 100 条，语义稳定
A3-002,A3_combo,strong,stable,strong,low,2,非ST，今日涨幅大于3%,非ST且涨幅>3%,非ST|今日涨幅,,100,1268.8,none,,run_20260507_151853,返回 100 条，语义稳定
A3-003,A3_combo,strong,stable,strong,low,3,非ST，非停牌，今日涨幅大于3%,非ST非停且涨幅>3%,非ST|非停牌|今日涨幅,,100,2180.8,none,,run_20260507_151853,返回 100 条，语义稳定
A3-004,A3_combo,strong,stable,strong,low,4,非ST，非停牌，今日涨幅大于3%，今日成交额大于3亿,4条件组合,非ST|非停牌|今日涨幅|今日成交额,,100,1560.9,none,,run_20260507_151853,返回 100 条，语义稳定
A3-005,A3_combo,strong,stable,strong,low,5,非ST，非停牌，今日涨幅大于3%，今日成交额大于3亿，今日换手率大于5%,5条件组合,非ST|非停牌|今日涨幅|今日成交额|今日换手率,,100,1397.0,none,,run_20260507_151853,返回 100 条，语义稳定
A3-006,A3_combo,strong,stable,strong,low,6,非ST，非停牌，今日涨幅大于3%，今日成交额大于3亿，今日换手率大于5%，流通市值在30亿到150亿之间,6条件组合,非ST|非停牌|今日涨幅|今日成交额|今日换手率|流通市值,,100,1551.0,none,,run_20260507_151853,返回 100 条，语义稳定
A3-007,A3_combo,strong,stable,strong,low,7,非ST，非停牌，非新股，今日涨幅大于3%，今日成交额大于3亿，今日换手率大于5%，流通市值在30亿到150亿之间,7条件组合,非ST|非停牌|非新股|今日涨幅|今日成交额|今日换手率|流通市值,,100,1877.8,none,,run_20260507_151853,返回 100 条，语义稳定
A4-001,A4_risky,weak,risky,manual_only,high,1,今日换手率大于近5日平均换手率的1.5倍,换手率>近5日均值×1.5,今日换手率|近5日平均换手率,vague_condition,100,3130.0,none,,run_20260507_152032,返回 100 条但含风险标签: vague_condition
A7-005,A7_numeric_relative,weak,risky,manual_only,high,1,今日成交额大于近5日平均成交额的1.5倍,成交额>近5日均值×1.5,今日成交额|近5日平均成交额,relative_comparison|vague_condition,100,1586.2,none,,run_20260507_154212,返回 100 条但含风险标签: relative_comparison|vague_condition
A4-003,A4_risky,forbidden,forbidden,forbidden,high,0,强势股,强势股模糊语义,强势股,vague_word|sentiment_word,14,1884.9,none,模糊词/预测词/英文查询，属于禁用分类,run_20260507_152032,禁用分类：不得自动生成
A4-004,A4_risky,forbidden,forbidden,forbidden,high,0,放量上涨股票,放量上涨模糊语义,放量上涨,vague_word,100,1950.5,none,模糊词/预测词/英文查询，属于禁用分类,run_20260507_152032,禁用分类：不得自动生成
A4-005,A4_risky,forbidden,forbidden,forbidden,high,0,短线龙头股,龙头模糊语义,龙头,vague_word|sentiment_word,100,1343.3,none,模糊词/预测词/英文查询，属于禁用分类,run_20260507_152032,禁用分类：不得自动生成
A4-006,A4_risky,forbidden,forbidden,forbidden,high,0,明天可能上涨的股票,预测明天涨,明天|可能上涨,prediction_word,19,2144.3,none,模糊词/预测词/英文查询，属于禁用分类,run_20260507_152032,禁用分类：不得自动生成
A4-007,A4_risky,forbidden,forbidden,forbidden,high,0,有可能涨停的股票,预测涨停,可能涨停,prediction_word,0,7589.5,none,模糊词/预测词/英文查询，属于禁用分类,run_20260507_152032,禁用分类：不得自动生成
A9-008,A9_technical_shape,weak,risky,manual_only,high,1,收盘价站上JMA均线,收盘>JMA,收盘价|JMA均线,jma_unverified|non_standard_field,100,1032.1,none,,run_20260507_154831,返回 100 条但含风险标签: jma_unverified|non_standard_field
A5-001,A5_forbidden,forbidden,invalid_query,forbidden,critical,0,A-shares with market cap between 3 and 15 billion,英文查询,INVALID,english_query,0,0.0,invalid_query,中文预检失败：query_text 不含中文或含英文整句,run_20260507_152351,不含中文字符
A5-002,A5_forbidden,forbidden,invalid_query,forbidden,critical,0,stocks with volume ratio greater than 2,英文查询,INVALID,english_query,0,0.0,invalid_query,中文预检失败：query_text 不含中文或含英文整句,run_20260507_152351,不含中文字符
A5-003,A5_forbidden,forbidden,invalid_query,forbidden,critical,0,,空查询,INVALID,empty_query,0,0.0,invalid_query,中文预检失败：query_text 不含中文或含英文整句,run_20260507_152351,查询语句为空
A6-001,A6_time_window,strong,stable,strong,low,1,近3日涨幅大于5%,近3日涨幅>5%,近3日涨幅,,100,1728.6,none,,run_20260507_154006,返回 100 条，语义稳定
A6-003,A6_time_window,strong,stable,strong,low,1,近20日涨幅小于10%,近20日涨幅<10%,近20日涨幅,,100,1115.1,none,,run_20260507_154006,返回 100 条，语义稳定
A6-004,A6_time_window,strong,stable,strong,low,1,最近一个月涨幅大于20%,近1月涨幅>20%,近1月涨幅,,100,1147.1,none,,run_20260507_154006,返回 100 条，语义稳定
A6-005,A6_time_window,weak,stable,strong,low,1,连续3日主力净流入为正,近3日主力连续净流入,主力净流入,consecutive_condition,100,1880.7,none,,run_20260507_154006,返回 100 条，语义稳定
A6-006,A6_time_window,weak,risky,manual_only,high,1,近5日成交额持续放大,近5日成交额递增,近5日成交额,vague_condition|consecutive_condition,17,1658.4,none,,run_20260507_154006,返回 17 条但含风险标签: vague_condition|consecutive_condition
A6-007,A6_time_window,strong,stable,strong,low,1,近3日换手率大于10%,近3日换手率>10%,近3日换手率,,100,2015.3,none,,run_20260507_154006,返回 100 条，语义稳定
A6-008,A6_time_window,review,failed,review,medium,1,近20日成交额大于5亿,近20日均成交额>5亿,近20日成交额,,0,45000.0,api_error,问财 API 接口异常（session 耗尽 / 网络 / 认证失败）,run_20260507_154006,失败: api_error  query_timeout after 45s
A7-001,A7_numeric_relative,strong,stable,strong,low,1,流通市值大于30亿且小于150亿,流通市值30~150亿(且语法),流通市值,,100,2276.1,none,,run_20260507_154212,返回 100 条，语义稳定
A7-003,A7_numeric_relative,strong,stable,strong,low,2,今日涨幅大于5%，近5日涨幅小于0%,今日涨>5%且近5日涨<0%,今日涨幅|近5日涨幅,,28,1775.7,none,,run_20260507_154212,返回 28 条，语义稳定
A7-004,A7_numeric_relative,weak,stable,strong,low,1,今日量比大于前2日量比,量比>前2日量比,今日量比|前2日量比,relative_comparison,100,1200.2,none,,run_20260507_154212,返回 100 条，语义稳定
A7-006,A7_numeric_relative,weak,stable,strong,low,1,今日换手率大于近3日平均换手率,换手率>近3日均换手率,今日换手率|近3日平均换手率,relative_comparison,100,3050.7,none,,run_20260507_154212,返回 100 条，语义稳定
A7-007,A7_numeric_relative,weak,stable,strong,low,1,今日成交额是昨日成交额的2倍以上,成交额>昨日×2,今日成交额|昨日成交额,relative_comparison,100,1205.1,none,,run_20260507_154212,返回 100 条，语义稳定
A7-008,A7_numeric_relative,strong,stable,strong,low,2,今日涨幅小于5%，今日成交额大于5亿,涨幅<5%且成交额>5亿,今日涨幅|今日成交额,,100,2234.9,none,,run_20260507_154212,返回 100 条，语义稳定
A8-004,A8_capital_flow,weak,stable,strong,low,1,近3日主力资金连续净流入,近3日主力连续净流入,近3日主力净流入,consecutive_condition,100,1753.7,none,,run_20260507_154454,返回 100 条，语义稳定
A8-005,A8_capital_flow,strong,stable,strong,low,1,今日大单净流入大于3000万,大单净流入>3000万,今日大单净流入,,100,1260.5,none,,run_20260507_154454,返回 100 条，语义稳定
A8-006,A8_capital_flow,strong,stable,strong,low,1,今日超大单净流入为正,超大单净流入>0,今日超大单净流入,,100,1501.9,none,,run_20260507_154454,返回 100 条，语义稳定
A8-007,A8_capital_flow,strong,stable,strong,low,1,今日资金净流入大于5000万,资金净流入>5000万,今日资金净流入,,100,1658.9,none,,run_20260507_154454,返回 100 条，语义稳定
A8-008,A8_capital_flow,weak,stable,strong,low,1,今日主力净流入占成交额比例大于5%,主力净流入占比>5%,今日主力净流入|今日成交额,relative_comparison,100,2653.0,none,,run_20260507_154454,返回 100 条，语义稳定
A9-001,A9_technical_shape,strong,stable,strong,low,1,今日收盘价站上5日均线,收盘价>MA5,收盘价|5日均线,,100,1980.9,none,,run_20260507_154831,返回 100 条，语义稳定
A9-002,A9_technical_shape,strong,stable,strong,low,1,今日收盘价大于20日均线,收盘价>MA20,收盘价|20日均线,,100,1441.4,none,,run_20260507_154831,返回 100 条，语义稳定
A9-003,A9_technical_shape,weak,risky,manual_only,high,1,均线多头排列,5日>10日>20日均线,均线多头,non_standard_field,100,1447.9,none,,run_20260507_154831,返回 100 条但含风险标签: non_standard_field
A9-004,A9_technical_shape,strong,stable,strong,low,1,MACD金叉,今日MACD金叉,MACD,,100,1292.5,none,,run_20260507_154831,返回 100 条，语义稳定
A9-005,A9_technical_shape,strong,stable,strong,low,1,KDJ金叉,今日KDJ金叉,KDJ,,100,1119.3,none,,run_20260507_154831,返回 100 条，语义稳定
A9-006,A9_technical_shape,weak,risky,manual_only,high,1,今日K线为锤子线,K线锤子线形态,K线形态,non_standard_field|candlestick,6,1391.8,none,,run_20260507_154831,返回 6 条但含风险标签: non_standard_field|candlestick
A9-007,A9_technical_shape,weak,risky,manual_only,high,1,今日K线为阳包阴,K线阳包阴形态,K线形态,non_standard_field|candlestick,100,1622.2,none,,run_20260507_154831,返回 100 条但含风险标签: non_standard_field|candlestick
A10-001,A10_complex_boundary,weak,risky,manual_only,high,2,今日量比明显大于前两日，且今日涨幅大于3%,量比明显>前2日且涨幅>3%,今日量比|前2日量比|今日涨幅,vague_condition|relative_comparison,100,2698.8,none,,run_20260507_155054,返回 100 条但含风险标签: vague_condition|relative_comparison
A10-002,A10_complex_boundary,weak,risky,manual_only,high,2,今日成交额放大但股价涨幅不超过5%,成交额放大且涨幅<5%,今日成交额|今日涨幅,vague_condition,100,3537.4,none,,run_20260507_155054,返回 100 条但含风险标签: vague_condition
A10-003,A10_complex_boundary,weak,risky,manual_only,high,2,主力净流入显著增加，且近5日涨幅小于10%,主力净流入显著增且近5日涨<10%,主力净流入|近5日涨幅,vague_condition,100,2120.8,none,,run_20260507_155054,返回 100 条但含风险标签: vague_condition
A10-004,A10_complex_boundary,weak,risky,manual_only,high,2,平台突破且成交额大于近5日平均成交额,平台突破且成交额>近5日均值,平台突破|今日成交额|近5日平均成交额,vague_condition|relative_comparison|non_standard_field,90,1405.8,none,,run_20260507_155054,返回 90 条但含风险标签: vague_condition|relative_comparison|non_standard_field
A10-005,A10_complex_boundary,strong,stable,strong,low,2,今日涨幅大于3%，但近20日涨幅小于0%,今日涨>3%且近20日涨<0%,今日涨幅|近20日涨幅,,84,1589.5,none,,run_20260507_155054,返回 84 条，语义稳定
A10-006,A10_complex_boundary,strong,stable,strong,low,2,今日涨幅大于5%，但主力净流入为负,涨幅>5%且主力净流入<0,今日涨幅|今日主力净流入,,81,1838.0,none,,run_20260507_155054,返回 81 条，语义稳定
