query_id,skill_type,skill_name_zh,actual_query_backend,op_domain,op_topic,source_origin,source_note,version,test_group,category,query_text,normalized_intent,condition_count,field_atoms,expression_type,time_window,unit_type,operator_type,order_variant,risk_tags,run_count,success_count,none_count,error_count,empty_count,avg_result_count,min_result_count,max_result_count,avg_latency_ms,status,risk_level,recommended_usage,notes
A1-001,astock,问财选A股,stock,wencai_query,price_change,seed_spec,基础单字段测试,v1,A1_basic,single_field,今日涨幅大于3%,今日涨幅>3%,1,今日涨幅,simple,today,百分比,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
A1-002,astock,问财选A股,stock,wencai_query,price_change,seed_spec,基础单字段测试,v1,A1_basic,single_field,今日涨幅大于5%,今日涨幅>5%,1,今日涨幅,simple,today,百分比,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
A1-003,astock,问财选A股,stock,wencai_query,price_change,seed_spec,基础单字段测试,v1,A1_basic,single_field,今日涨幅大于3%，非ST,涨幅>3%且非ST,2,今日涨幅|非ST,exclusion,today,百分比,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
A1-004,astock,问财选A股,stock,wencai_query,volume,seed_spec,基础单字段测试,v1,A1_basic,single_field,今日成交额大于3亿,成交额>3亿,1,今日成交额,simple,today,亿元,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
A1-005,astock,问财选A股,stock,wencai_query,volume,seed_spec,基础单字段测试,v1,A1_basic,single_field,今日成交额大于5亿,成交额>5亿,1,今日成交额,simple,today,亿元,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
A1-006,astock,问财选A股,stock,wencai_query,turnover,seed_spec,基础单字段测试,v1,A1_basic,single_field,今日换手率大于5%,换手率>5%,1,今日换手率,simple,today,百分比,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
A1-007,astock,问财选A股,stock,wencai_query,turnover,seed_spec,基础单字段测试,v1,A1_basic,single_field,今日换手率大于10%,换手率>10%,1,今日换手率,simple,today,百分比,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
A1-008,astock,问财选A股,stock,wencai_query,volume_ratio,seed_spec,基础单字段测试,v1,A1_basic,single_field,今日量比大于1.5,量比>1.5,1,今日量比,simple,today,倍数,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
A1-009,astock,问财选A股,stock,wencai_query,volume_ratio,seed_spec,基础单字段测试,v1,A1_basic,single_field,今日量比大于2,量比>2,1,今日量比,simple,today,倍数,gt,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
A1-010,astock,问财选A股,stock,wencai_query,market_cap,seed_spec,基础单字段测试,v1,A1_basic,range_field,流通市值在30亿到150亿之间,流通市值30~150亿,1,流通市值,range,static,亿元,between,standard,,0,0,0,0,0,0,0,0,0,pending,low,pending,待实测
